agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
94,v,223,211,,,6,10,"LINESTRING(-109.560508 37.2867291,-109.5647891 37.2813594)",0754
95,v,154,213,,,6,10,"LINESTRING(-109.5601268 37.2856711,-109.5589658 37.282752)",0748
96,v,81,31,1030045659.0,83709098.0,6,10,"LINESTRING(-109.5652556 37.2883349,-109.5679571 37.2790142)",0736
97,v,177,160,,,6,10,"LINESTRING(-109.5599343 37.2857083,-109.567071 37.282368)",0718
98,v,88,173,1331799412.0,,6,10,"LINESTRING(-109.5570964 37.289252,-109.5570134 37.2826692)",0750
99,v,205,158,,,6,10,"LINESTRING(-109.55757 37.2852757,-109.5573324 37.2833148)",0721
100,v,214,237,,,6,10,"LINESTRING(-109.5591086 37.2851679,-109.5629311 37.2814738)",0730
101,v,169,240,,,6,10,"LINESTRING(-109.5573399 37.2838146,-109.557271 37.2831428)",0754
102,v,220,66,,83751036.0,6,10,"LINESTRING(-109.5574885 37.2837023,-109.5653887 37.2834136)",0702
103,v,6,57,83614585.0,83741037.0,6,10,"LINESTRING(-109.5600255 37.285309,-109.5669202 37.2833253)",0745
104,v,6,186,83614585.0,,6,10,"LINESTRING(-109.5600255 37.285309,-109.5582895 37.2825923)",0709
105,v,72,57,436676529.0,83741037.0,6,10,"LINESTRING(-109.5609665 37.2870722,-109.5669202 37.2833253)",0720
106,v,17,251,83629512.0,,6,10,"LINESTRING(-109.5684056 37.2837785,-109.5685303 37.2811247)",0758
107,v,4,246,83614581.0,,6,10,"LINESTRING(-109.5583982 37.285596,-109.5619808 37.2817581)",0740
108,v,205,32,,83709113.0,6,10,"LINESTRING(-109.55757 37.2852757,-109.5694176 37.2789758)",0721
109,v,238,251,,,6,10,"LINESTRING(-109.5576561 37.284662,-109.5685303 37.2811247)",0733
110,v,23,173,83651071.0,,6,10,"LINESTRING(-109.5591938 37.2857107,-109.5570134 37.2826692)",0707
111,v,164,211,,,6,10,"LINESTRING(-109.5583507 37.2871624,-109.5647891 37.2813594)",0719
112,v,4,237,83614581.0,,6,10,"LINESTRING(-109.5583982 37.285596,-109.5629311 37.2814738)",0712
113,v,169,237,,,6,10,"LINESTRING(-109.5573399 37.2838146,-109.5629311 37.2814738)",0721
114,v,225,30,,83709097.0,6,10,"LINESTRING(-109.5580194 37.2840724,-109.5678566 37.2783093)",0711
115,v,214,13,,83629495.0,6,10,"LINESTRING(-109.5591086 37.2851679,-109.5683662 37.2832676)",0732
116,v,225,229,,,6,10,"LINESTRING(-109.5580194 37.2840724,-109.5687679 37.2812283)",0737
117,v,81,50,1030045659.0,83734491.0,6,10,"LINESTRING(-109.5652556 37.2883349,-109.5681056 37.2805577)",0755
118,v,252,213,,,6,10,"LINESTRING(-109.5591611 37.284811,-109.5589658 37.282752)",0729
119,v,152,162,,,6,10,"LINESTRING(-109.5574927 37.28401,-109.5589656 37.2825079)",0724
