name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link
Navajo Twins Drive,59,10151494,84,88,1,373.74785285684686,1,29,,residential,6,"LINESTRING (-109.5532679 37.288825, -109.5533801 37.2889371, -109.5535161 37.2890308, -109.5536685 37.2891262, -109.5538183 37.2891906, -109.5539807 37.2892218, -109.5541484 37.2892218, -109.5542879 37.2891961, -109.5544547 37.2891418, -109.5549597 37.2889401, -109.5551183 37.2888937, -109.5552755 37.2888721, -109.5554452 37.288876, -109.5566421 37.2889893, -109.5567423 37.2890088, -109.5568442 37.2890557, -109.5570964 37.289252)",auto;bike;walk,1,0
Navajo Twins Drive,60,10151494,88,84,1,373.74785285684686,1,29,,residential,6,"LINESTRING (-109.5570964 37.289252, -109.5568442 37.2890557, -109.5567423 37.2890088, -109.5566421 37.2889893, -109.5554452 37.288876, -109.5552755 37.2888721, -109.5551183 37.2888937, -109.5549597 37.2889401, -109.5544547 37.2891418, -109.5542879 37.2891961, -109.5541484 37.2892218, -109.5539807 37.2892218, -109.5538183 37.2891906, -109.5536685 37.2891262, -109.5535161 37.2890308, -109.5533801 37.2889371, -109.5532679 37.288825)",auto;bike;walk,1,0
4th West R,61,10151675,41,45,1,79.68906114189281,1,29,,residential,6,"LINESTRING (-109.56649 37.2791038, -109.5664269 37.2783889)",auto;bike;walk,1,0
4th West R,62,10151675,45,41,1,79.68906114189281,1,29,,residential,6,"LINESTRING (-109.5664269 37.2783889, -109.56649 37.2791038)",auto;bike;walk,1,0
4th West R,63,10151675,45,112,1,89.71331023198873,1,29,,residential,6,"LINESTRING (-109.5664269 37.2783889, -109.5663443 37.2776725, -109.5663282 37.2776277, -109.5662933 37.2775978)",auto;bike;walk,1,0
4th West R,64,10151675,112,45,1,89.71331023198873,1,29,,residential,6,"LINESTRING (-109.5662933 37.2775978, -109.5663282 37.2776277, -109.5663443 37.2776725, -109.5664269 37.2783889)",auto;bike;walk,1,0
Black Locust Avenue,65,10151773,48,69,1,152.37494237449323,1,29,,tertiary,5,"LINESTRING (-109.5570653 37.2843031, -109.5553432 37.2843247)",auto;bike;walk,1,0
Black Locust Avenue,66,10151773,69,48,1,152.37494237449323,1,29,,tertiary,5,"LINESTRING (-109.5553432 37.2843247, -109.5570653 37.2843031)",auto;bike;walk,1,0
Black Locust Avenue,67,10151773,69,91,1,149.3340267249676,1,29,,tertiary,5,"LINESTRING (-109.5553432 37.2843247, -109.5549082 37.2843659, -109.5536585 37.2843824)",auto;bike;walk,1,0
Black Locust Avenue,68,10151773,91,69,1,149.3340267249676,1,29,,tertiary,5,"LINESTRING (-109.5536585 37.2843824, -109.5549082 37.2843659, -109.5553432 37.2843247)",auto;bike;walk,1,0
Black Locust Avenue,69,10151773,91,128,1,77.1205754317358,1,29,,tertiary,5,"LINESTRING (-109.5536585 37.2843824, -109.5529389 37.2843843, -109.5527868 37.2843847)",auto;bike;walk,1,0
Black Locust Avenue,70,10151773,128,91,1,77.1205754317358,1,29,,tertiary,5,"LINESTRING (-109.5527868 37.2843847, -109.5529389 37.2843843, -109.5536585 37.2843824)",auto;bike;walk,1,0
Black Locust Avenue,71,10151773,128,110,1,74.05064795208422,1,29,,tertiary,5,"LINESTRING (-109.5527868 37.2843847, -109.5525028 37.2843855, -109.5519498 37.284387)",auto;bike;walk,1,0
Black Locust Avenue,72,10151773,110,128,1,74.05064795208422,1,29,,tertiary,5,"LINESTRING (-109.5519498 37.284387, -109.5525028 37.2843855, -109.5527868 37.2843847)",auto;bike;walk,1,0
Black Locust Avenue,73,10151773,110,114,1,145.75633615152972,1,29,,tertiary,5,"LINESTRING (-109.5519498 37.284387, -109.5505836 37.2844047, -109.5504951 37.2844164, -109.5503959 37.2844538, -109.5503409 37.2845018)",auto;bike;walk,1,0
Black Locust Avenue,74,10151773,114,110,1,145.75633615152972,1,29,,tertiary,5,"LINESTRING (-109.5503409 37.2845018, -109.5503959 37.2844538, -109.5504951 37.2844164, -109.5505836 37.2844047, -109.5519498 37.284387)",auto;bike;walk,1,0
3rd East Street,75,10151967,47,76,1,73.69019809958063,1,29,,tertiary,5,"LINESTRING (-109.5570263 37.2829753, -109.557029 37.2830867, -109.5570416 37.2836379)",auto;bike;walk,1,0
3rd East Street,76,10151967,76,47,1,73.69019809958063,1,29,,tertiary,5,"LINESTRING (-109.5570416 37.2836379, -109.557029 37.2830867, -109.5570263 37.2829753)",auto;bike;walk,1,0
3rd East Street,77,10151967,76,36,1,24.547520967265793,1,29,,tertiary,5,"LINESTRING (-109.5570416 37.2836379, -109.5570522 37.2838585)",auto;bike;walk,1,0
3rd East Street,78,10151967,36,76,1,24.547520967265793,1,29,,tertiary,5,"LINESTRING (-109.5570522 37.2838585, -109.5570416 37.2836379)",auto;bike;walk,1,0
3rd East Street,79,10151967,36,48,1,49.4508476356523,1,29,,tertiary,5,"LINESTRING (-109.5570522 37.2838585, -109.5570653 37.2843031)",auto;bike;walk,1,0
3rd East Street,80,10151967,48,36,1,49.4508476356523,1,29,,tertiary,5,"LINESTRING (-109.5570653 37.2843031, -109.5570522 37.2838585)",auto;bike;walk,1,0
5th West,81,10152048,31,49,1,86.58435940784813,1,29,,residential,6,"LINESTRING (-109.5679571 37.2790142, -109.5680318 37.2797906)",auto;bike;walk,1,0
5th West,82,10152048,49,31,1,86.58435940784813,1,29,,residential,6,"LINESTRING (-109.5680318 37.2797906, -109.5679571 37.2790142)",auto;bike;walk,1,0
5th West,83,10152048,49,50,1,85.54718029750158,1,29,,residential,6,"LINESTRING (-109.5680318 37.2797906, -109.5681056 37.2805577)",auto;bike;walk,1,0
5th West,84,10152048,50,49,1,85.54718029750158,1,29,,residential,6,"LINESTRING (-109.5681056 37.2805577, -109.5680318 37.2797906)",auto;bike;walk,1,0
5th West,85,10152048,50,51,1,106.89137930439809,1,29,,residential,6,"LINESTRING (-109.5681056 37.2805577, -109.5681977 37.2815162)",auto;bike;walk,1,0
5th West,86,10152048,51,50,1,106.89137930439809,1,29,,residential,6,"LINESTRING (-109.5681977 37.2815162, -109.5681056 37.2805577)",auto;bike;walk,1,0
5th West,87,10152048,51,18,1,107.36040368948974,1,29,,residential,6,"LINESTRING (-109.5681977 37.2815162, -109.5682903 37.2824789)",auto;bike;walk,1,0
5th West,88,10152048,18,51,1,107.36040368948974,1,29,,residential,6,"LINESTRING (-109.5682903 37.2824789, -109.5681977 37.2815162)",auto;bike;walk,1,0
5th West,89,10152048,18,13,1,87.95614739454021,1,29,,residential,6,"LINESTRING (-109.5682903 37.2824789, -109.5683662 37.2832676)",auto;bike;walk,1,0
5th West,90,10152048,13,18,1,87.95614739454021,1,29,,residential,6,"LINESTRING (-109.5683662 37.2832676, -109.5682903 37.2824789)",auto;bike;walk,1,0
4th West,91,10152354,41,59,1,89.26988831215284,1,29,,residential,6,"LINESTRING (-109.56649 37.2791038, -109.5665715 37.279904)",auto;bike;walk,1,0
4th West,92,10152354,59,41,1,89.26988831215284,1,29,,residential,6,"LINESTRING (-109.5665715 37.279904, -109.56649 37.2791038)",auto;bike;walk,1,0
