agent_id,agent_type,o_node_id,d_node_id,o_osm_node_id,d_osm_node_id,o_zone_id,d_zone_id,geometry,departure_time
721,v,2961,2116,,5692081453.0,18,5,"LINESTRING(-111.9333237 33.4167592,-111.941512 33.4273775)",0724
722,v,2701,29,,41563500.0,18,5,"LINESTRING(-111.9361294 33.4154285,-111.943347 33.4254811)",0706
723,v,245,2932,1698683809.0,,18,5,"LINESTRING(-111.9366529 33.4173851,-111.9431126 33.4259531)",0750
724,v,2644,2985,,,18,6,"LINESTRING(-111.9313943 33.4178796,-111.9358734 33.4256289)",0703
725,v,1501,2991,5333539971.0,,18,6,"LINESTRING(-111.936655 33.4174833,-111.9356033 33.4258915)",0718
726,v,734,2974,5260200660.0,,18,7,"LINESTRING(-111.9334415 33.4160891,-111.9280108 33.4260327)",0723
727,v,2957,2723,,,18,7,"LINESTRING(-111.933873 33.4168855,-111.925024 33.4249976)",0739
728,v,2698,2751,,,18,9,"LINESTRING(-111.9380136 33.4162599,-111.9417409 33.4222943)",0721
729,v,2347,2762,7121959001.0,,18,9,"LINESTRING(-111.9342398 33.4160939,-111.9385643 33.4235761)",0755
730,v,3085,2290,,6886353639.0,18,9,"LINESTRING(-111.9372546 33.4180582,-111.9442823 33.4223902)",0716
731,v,1528,2858,5333560369.0,,18,9,"LINESTRING(-111.9366549 33.4176535,-111.9430581 33.4212854)",0704
732,v,1526,2875,5333560367.0,,18,9,"LINESTRING(-111.9367551 33.4176523,-111.940282 33.4238233)",0723
733,v,655,17,4716137948.0,41529740.0,18,9,"LINESTRING(-111.9313904 33.4174105,-111.9400786 33.4243437)",0717
734,v,419,3078,2819203908.0,,18,9,"LINESTRING(-111.9366289 33.4162774,-111.9398638 33.4225313)",0717
735,v,2831,1832,,5415311175.0,18,10,"LINESTRING(-111.9340323 33.4157807,-111.9366737 33.4233232)",0722
736,v,654,2679,4716137945.0,,18,10,"LINESTRING(-111.9326901 33.4173693,-111.9330655 33.4213634)",0711
737,v,1722,2641,5414895816.0,,18,10,"LINESTRING(-111.9333802 33.4160887,-111.9344444 33.4222825)",0742
738,v,232,2684,1698683692.0,,18,10,"LINESTRING(-111.9369754 33.4162264,-111.9321378 33.4216503)",0729
739,v,2337,1232,7121930882.0,5266139528.0,18,10,"LINESTRING(-111.9352405 33.4160982,-111.9362338 33.4243617)",0737
740,v,1526,3011,5333560367.0,,18,10,"LINESTRING(-111.9367551 33.4176523,-111.9323541 33.4229788)",0714
741,v,1722,2947,5414895816.0,,18,10,"LINESTRING(-111.9333802 33.4160887,-111.9331929 33.4223693)",0715
742,v,2608,2323,,7121895053.0,18,10,"LINESTRING(-111.9338446 33.416548,-111.9353948 33.4243414)",0732
743,v,2610,2679,,,18,10,"LINESTRING(-111.935525 33.4164929,-111.9330655 33.4213634)",0710
744,v,1502,2772,5333539972.0,,18,10,"LINESTRING(-111.9366276 33.4162059,-111.9352566 33.4228523)",0711
745,v,178,2753,863737649.0,,18,11,"LINESTRING(-111.9366113 33.4150834,-111.9247625 33.4213286)",0755
746,v,2698,2893,,,18,11,"LINESTRING(-111.9380136 33.4162599,-111.9250793 33.4231379)",0729
747,v,2740,1584,,5338069290.0,18,12,"LINESTRING(-111.9365939 33.4155674,-111.9228981 33.4236505)",0722
748,v,1526,2837,5333560367.0,,18,12,"LINESTRING(-111.9367551 33.4176523,-111.9215439 33.422965)",0735
749,v,233,155,1698683701.0,863736785.0,18,13,"LINESTRING(-111.9370673 33.4162376,-111.9412404 33.4212296)",0751
750,v,691,2395,5200239624.0,7264975962.0,18,13,"LINESTRING(-111.9349531 33.4160981,-111.9423293 33.4204753)",0750
751,v,2609,2401,,7265020287.0,18,13,"LINESTRING(-111.9344966 33.4165642,-111.9412313 33.4204449)",0737
752,v,2738,2398,,7264975984.0,18,13,"LINESTRING(-111.9356984 33.4162761,-111.9423295 33.4204704)",0744
753,v,509,2892,3468588331.0,,18,13,"LINESTRING(-111.9363553 33.4161918,-111.9390224 33.4194018)",0731
754,v,2703,2373,,7237092615.0,18,13,"LINESTRING(-111.9361098 33.4156697,-111.9398947 33.419057)",0708
755,v,2701,2758,,,18,13,"LINESTRING(-111.9361294 33.4154285,-111.9390348 33.4197351)",0736
756,v,2671,3063,,,18,13,"LINESTRING(-111.937249 33.4154523,-111.9404753 33.4188691)",0724
757,v,2701,10,,41520531.0,18,13,"LINESTRING(-111.9361294 33.4154285,-111.9442453 33.4189174)",0739
758,v,2608,826,,5260253701.0,18,13,"LINESTRING(-111.9338446 33.416548,-111.9387912 33.4190679)",0735
759,v,2648,2209,,6672814190.0,18,13,"LINESTRING(-111.932391 33.4178427,-111.9403244 33.4204887)",0718
760,v,2958,828,,5260253703.0,18,13,"LINESTRING(-111.9332385 33.417273,-111.9394774 33.4190577)",0714
761,v,2704,3088,,,18,14,"LINESTRING(-111.9358475 33.4156701,-111.9331409 33.4198547)",0751
762,v,178,3088,863737649.0,,18,14,"LINESTRING(-111.9366113 33.4150834,-111.9331409 33.4198547)",0726
763,v,416,2638,2819203905.0,,18,14,"LINESTRING(-111.9366262 33.4161337,-111.9354903 33.4199516)",0739
764,v,2700,2624,,,18,14,"LINESTRING(-111.9357611 33.4151263,-111.9373196 33.4205089)",0750
765,v,3085,2848,,,18,14,"LINESTRING(-111.9372546 33.4180582,-111.9346555 33.4183804)",0739
766,v,2608,2666,,,18,14,"LINESTRING(-111.9338446 33.416548,-111.9322387 33.4196638)",0758
767,v,2830,2645,,,18,15,"LINESTRING(-111.9340229 33.4152849,-111.9295619 33.4206425)",0708
768,v,2613,3059,,,18,15,"LINESTRING(-111.9354974 33.4176257,-111.9291485 33.4208426)",0720
769,v,2608,1961,,5646687275.0,18,16,"LINESTRING(-111.9338446 33.416548,-111.9194821 33.4184078)",0716
770,v,67,2815,42351327.0,,18,16,"LINESTRING(-111.933278 33.4160881,-111.9232999 33.4184475)",0707
771,v,2701,2108,,5686916242.0,18,16,"LINESTRING(-111.9361294 33.4154285,-111.9191918 33.4184073)",0730
772,v,2608,53,,41662598.0,18,17,"LINESTRING(-111.9338446 33.416548,-111.9399894 33.4162047)",0740
773,v,2702,2434,,7978107675.0,18,17,"LINESTRING(-111.9361375 33.4159137,-111.9424528 33.4161632)",0728
774,v,1502,352,5333539972.0,2625359004.0,18,17,"LINESTRING(-111.9366276 33.4162059,-111.9398468 33.4176189)",0741
775,v,1157,2228,5264800471.0,6700916742.0,18,17,"LINESTRING(-111.9334577 33.4173564,-111.9405076 33.4176174)",0721
776,v,2609,13,,41520539.0,18,17,"LINESTRING(-111.9344966 33.4165642,-111.9442403 33.4160678)",0738
777,v,2699,25,,41563460.0,18,17,"LINESTRING(-111.9325418 33.415558,-111.9424525 33.4176183)",0733
778,v,2609,2752,,,18,17,"LINESTRING(-111.9344966 33.4165642,-111.938774 33.4162649)",0706
779,v,2951,2228,,6700916742.0,18,17,"LINESTRING(-111.9379919 33.4156168,-111.9405076 33.4176174)",0735
780,v,654,3038,4716137945.0,,18,19,"LINESTRING(-111.9326901 33.4173693,-111.9260174 33.4165535)",0714
781,v,2698,3015,,,18,19,"LINESTRING(-111.9380136 33.4162599,-111.9284422 33.4169753)",0749
782,v,2699,2833,,,18,19,"LINESTRING(-111.9325418 33.415558,-111.9269102 33.4176722)",0735
783,v,2738,2652,,,18,19,"LINESTRING(-111.9356984 33.4162761,-111.9294615 33.4178075)",0719
784,v,67,2825,42351327.0,,18,19,"LINESTRING(-111.933278 33.4160881,-111.9269932 33.4162673)",0745
785,v,2737,2856,,,18,20,"LINESTRING(-111.9340217 33.415486,-111.918771 33.4159758)",0725
786,v,3090,263,,1799680770.0,18,20,"LINESTRING(-111.9355638 33.4154369,-111.9187854 33.4172118)",0745
787,v,2649,3105,,,18,20,"LINESTRING(-111.9318601 33.4177987,-111.924058 33.4163172)",0754
788,v,2610,2865,,,18,20,"LINESTRING(-111.935525 33.4164929,-111.9184099 33.4154162)",0723
