activity_zone_id,grid_zone_id,name,centroid_x,centroid_y,geometry,centroid,total_poi_count,residential_poi_count,office_poi_count,shopping_poi_count,school_poi_count,parking_poi_count,boundary_node_count,zone_type
230,200.0,L10,-111.93193257777777,33.42147563333333,"POLYGON ((-111.93265680000005 33.42118000000002,-111.93265680000005 33.42198000000002,-111.93128680000005 33.42198000000002,-111.93128680000005 33.42118000000002,-111.93265680000005 33.42118000000002))",POINT (-111.93193257777777 33.42147563333333),9,0,0,0,0,4,0,demand_zone
231,201.0,L11,-111.93054860000001,33.42160485,"POLYGON ((-111.93128680000005 33.42118000000002,-111.93128680000005 33.42198000000002,-111.92991680000006 33.42198000000002,-111.92991680000006 33.42118000000002,-111.93128680000005 33.42118000000002))",POINT (-111.93054860000001 33.42160485),2,0,0,0,0,2,0,demand_zone
232,202.0,L12,-111.92950015,33.42146735,"POLYGON ((-111.92991680000006 33.42118000000002,-111.92991680000006 33.42198000000002,-111.92854680000006 33.42198000000002,-111.92854680000006 33.42118000000002,-111.92991680000006 33.42118000000002))",POINT (-111.92950015 33.42146735),2,0,0,0,0,0,0,demand_zone
233,203.0,L13,-111.9284066,33.4215267,"POLYGON ((-111.92854680000006 33.42118000000002,-111.92854680000006 33.42198000000002,-111.92717680000007 33.42198000000002,-111.92717680000007 33.42118000000002,-111.92854680000006 33.42118000000002))",POINT (-111.9284066 33.4215267),1,0,0,0,0,0,0,demand_zone
234,204.0,L14,-111.92587520000001,33.421508200000005,"POLYGON ((-111.92717680000007 33.42118000000002,-111.92717680000007 33.42198000000002,-111.92580680000007 33.42198000000002,-111.92580680000007 33.42118000000002,-111.92717680000007 33.42118000000002))",POINT (-111.92587520000001 33.421508200000005),2,0,0,1,0,0,0,demand_zone
235,205.0,L15,-111.925179525,33.42151629999999,"POLYGON ((-111.92580680000007 33.42118000000002,-111.92580680000007 33.42198000000002,-111.92443680000008 33.42198000000002,-111.92443680000008 33.42118000000002,-111.92580680000007 33.42118000000002))",POINT (-111.925179525 33.42151629999999),4,0,0,0,0,1,0,demand_zone
236,207.0,L16,-111.92378835,33.42149259999999,"POLYGON ((-111.92443680000008 33.42118000000002,-111.92443680000008 33.42198000000002,-111.92306680000009 33.42198000000002,-111.92306680000009 33.42118000000002,-111.92443680000008 33.42118000000002))",POINT (-111.92378835 33.42149259999999),2,0,0,0,0,1,0,demand_zone
246,208.0,M6,-111.937577225,33.4207454,"POLYGON ((-111.93813680000002 33.42038000000002,-111.93813680000002 33.42118000000002,-111.93676680000003 33.42118000000002,-111.93676680000003 33.42038000000002,-111.93813680000002 33.42038000000002))",POINT (-111.937577225 33.4207454),3,0,0,0,0,0,0,demand_zone
247,209.0,M7,-111.93606638333334,33.420823850000005,"POLYGON ((-111.93676680000003 33.42038000000002,-111.93676680000003 33.42118000000002,-111.93539680000004 33.42118000000002,-111.93539680000004 33.42038000000002,-111.93676680000003 33.42038000000002))",POINT (-111.93606638333334 33.420823850000005),5,0,0,0,0,1,0,demand_zone
248,210.0,M8,-111.934572,33.4209301,"POLYGON ((-111.93539680000004 33.42038000000002,-111.93539680000004 33.42118000000002,-111.93402680000004 33.42118000000002,-111.93402680000004 33.42038000000002,-111.93539680000004 33.42038000000002))",POINT (-111.934572 33.4209301),1,0,0,0,0,0,0,demand_zone
249,211.0,M9,-111.93353574,33.42079108,"POLYGON ((-111.93402680000004 33.42038000000002,-111.93402680000004 33.42118000000002,-111.93265680000005 33.42118000000002,-111.93265680000005 33.42038000000002,-111.93402680000004 33.42038000000002))",POINT (-111.93353574 33.42079108),5,0,0,0,0,1,0,demand_zone
250,212.0,M10,-111.93208191428572,33.4207478,"POLYGON ((-111.93265680000005 33.42038000000002,-111.93265680000005 33.42118000000002,-111.93128680000005 33.42118000000002,-111.93128680000005 33.42038000000002,-111.93265680000005 33.42038000000002))",POINT (-111.93208191428572 33.4207478),6,0,0,0,0,1,0,demand_zone
251,214.0,M11,-111.93052932500001,33.420610775,"POLYGON ((-111.93128680000005 33.42038000000002,-111.93128680000005 33.42118000000002,-111.92991680000006 33.42118000000002,-111.92991680000006 33.42038000000002,-111.93128680000005 33.42038000000002))",POINT (-111.93052932500001 33.420610775),2,0,0,0,0,0,0,demand_zone
252,215.0,M12,-111.92943526666666,33.4208412,"POLYGON ((-111.92991680000006 33.42038000000002,-111.92991680000006 33.42118000000002,-111.92854680000006 33.42118000000002,-111.92854680000006 33.42038000000002,-111.92991680000006 33.42038000000002))",POINT (-111.92943526666666 33.4208412),2,0,0,0,0,0,0,demand_zone
253,216.0,M13,-111.9282766,33.4207184,"POLYGON ((-111.92854680000006 33.42038000000002,-111.92854680000006 33.42118000000002,-111.92717680000007 33.42118000000002,-111.92717680000007 33.42038000000002,-111.92854680000006 33.42038000000002))",POINT (-111.9282766 33.4207184),1,0,0,0,0,1,0,demand_zone
265,217.0,N5,-111.9390019,33.419980249999995,"POLYGON ((-111.93950680000002 33.419580000000025,-111.93950680000002 33.42038000000002,-111.93813680000002 33.42038000000002,-111.93813680000002 33.419580000000025,-111.93950680000002 33.419580000000025))",POINT (-111.9390019 33.419980249999995),2,0,0,0,1,1,0,demand_zone
266,218.0,N6,-111.93748074999999,33.42001825,"POLYGON ((-111.93813680000002 33.419580000000025,-111.93813680000002 33.42038000000002,-111.93676680000003 33.42038000000002,-111.93676680000003 33.419580000000025,-111.93813680000002 33.419580000000025))",POINT (-111.93748074999999 33.42001825),3,0,0,0,0,1,0,demand_zone
267,219.0,N7,-111.93590113333333,33.41991996666667,"POLYGON ((-111.93676680000003 33.419580000000025,-111.93676680000003 33.42038000000002,-111.93539680000004 33.42038000000002,-111.93539680000004 33.419580000000025,-111.93676680000003 33.419580000000025))",POINT (-111.93590113333333 33.41991996666667),2,0,0,0,0,0,0,demand_zone
269,220.0,N9,-111.93344555,33.419934850000004,"POLYGON ((-111.93402680000004 33.419580000000025,-111.93402680000004 33.42038000000002,-111.93265680000005 33.42038000000002,-111.93265680000005 33.419580000000025,-111.93402680000004 33.419580000000025))",POINT (-111.93344555 33.419934850000004),1,0,0,0,0,0,0,demand_zone
270,221.0,N10,-111.93190266666666,33.4198331,"POLYGON ((-111.93265680000005 33.419580000000025,-111.93265680000005 33.42038000000002,-111.93128680000005 33.42038000000002,-111.93128680000005 33.419580000000025,-111.93265680000005 33.419580000000025))",POINT (-111.93190266666666 33.4198331),3,0,0,0,0,0,0,demand_zone
271,222.0,N11,-111.9306996,33.4199612,"POLYGON ((-111.93128680000005 33.419580000000025,-111.93128680000005 33.42038000000002,-111.92991680000006 33.42038000000002,-111.92991680000006 33.419580000000025,-111.93128680000005 33.419580000000025))",POINT (-111.9306996 33.4199612),1,0,0,0,1,0,0,demand_zone
272,223.0,N12,-111.92918565,33.420073349999996,"POLYGON ((-111.92991680000006 33.419580000000025,-111.92991680000006 33.42038000000002,-111.92854680000006 33.42038000000002,-111.92854680000006 33.419580000000025,-111.92991680000006 33.419580000000025))",POINT (-111.92918565 33.420073349999996),1,0,0,0,0,0,0,demand_zone
273,224.0,N13,-111.927902175,33.42006825,"POLYGON ((-111.92854680000006 33.419580000000025,-111.92854680000006 33.42038000000002,-111.92717680000007 33.42038000000002,-111.92717680000007 33.419580000000025,-111.92854680000006 33.419580000000025))",POINT (-111.927902175 33.42006825),1,0,0,0,0,0,0,demand_zone
275,225.0,N15,-111.92496835,33.4199159,"POLYGON ((-111.92580680000007 33.419580000000025,-111.92580680000007 33.42038000000002,-111.92443680000008 33.42038000000002,-111.92443680000008 33.419580000000025,-111.92580680000007 33.419580000000025))",POINT (-111.92496835 33.4199159),2,0,0,0,0,1,0,demand_zone
276,226.0,N16,-111.9237472,33.4201583,"POLYGON ((-111.92443680000008 33.419580000000025,-111.92443680000008 33.42038000000002,-111.92306680000009 33.42038000000002,-111.92306680000009 33.419580000000025,-111.92443680000008 33.419580000000025))",POINT (-111.9237472 33.4201583),1,0,0,0,0,1,0,demand_zone
277,227.0,N17,-111.9221603,33.41979018,"POLYGON ((-111.92306680000009 33.419580000000025,-111.92306680000009 33.42038000000002,-111.92169680000009 33.42038000000002,-111.92169680000009 33.419580000000025,-111.92306680000009 33.419580000000025))",POINT (-111.9221603 33.41979018),5,2,0,0,0,0,0,demand_zone
285,228.0,O5,-111.939172725,33.419236075,"POLYGON ((-111.93950680000002 33.41878000000003,-111.93950680000002 33.419580000000025,-111.93813680000002 33.419580000000025,-111.93813680000002 33.41878000000003,-111.93950680000002 33.41878000000003))",POINT (-111.939172725 33.419236075),2,0,0,0,0,1,0,demand_zone
286,229.0,O6,-111.93777286666666,33.41910338333333,"POLYGON ((-111.93813680000002 33.41878000000003,-111.93813680000002 33.419580000000025,-111.93676680000003 33.419580000000025,-111.93676680000003 33.41878000000003,-111.93813680000002 33.41878000000003))",POINT (-111.93777286666666 33.41910338333333),2,0,0,0,0,0,0,demand_zone
287,230.0,O7,-111.93606985,33.419116149999994,"POLYGON ((-111.93676680000003 33.41878000000003,-111.93676680000003 33.419580000000025,-111.93539680000004 33.419580000000025,-111.93539680000004 33.41878000000003,-111.93676680000003 33.41878000000003))",POINT (-111.93606985 33.419116149999994),2,0,0,0,0,0,0,demand_zone
288,231.0,O8,-111.93493145,33.41894285,"POLYGON ((-111.93539680000004 33.41878000000003,-111.93539680000004 33.419580000000025,-111.93402680000004 33.419580000000025,-111.93402680000004 33.41878000000003,-111.93539680000004 33.41878000000003))",POINT (-111.93493145 33.41894285),2,0,0,0,0,0,0,demand_zone
289,232.0,O9,-111.9334328,33.41927263333333,"POLYGON ((-111.93402680000004 33.41878000000003,-111.93402680000004 33.419580000000025,-111.93265680000005 33.419580000000025,-111.93265680000005 33.41878000000003,-111.93402680000004 33.41878000000003))",POINT (-111.9334328 33.41927263333333),3,0,1,0,0,1,0,demand_zone
290,233.0,O10,-111.93211515,33.41910188333333,"POLYGON ((-111.93265680000005 33.41878000000003,-111.93265680000005 33.419580000000025,-111.93128680000005 33.419580000000025,-111.93128680000005 33.41878000000003,-111.93265680000005 33.41878000000003))",POINT (-111.93211515 33.41910188333333),6,0,0,0,0,0,0,demand_zone
291,234.0,O11,-111.9306065,33.4190371,"POLYGON ((-111.93128680000005 33.41878000000003,-111.93128680000005 33.419580000000025,-111.92991680000006 33.419580000000025,-111.92991680000006 33.41878000000003,-111.93128680000005 33.41878000000003))",POINT (-111.9306065 33.4190371),1,0,0,0,0,0,0,demand_zone
292,235.0,O12,-111.9295419,33.4190764,"POLYGON ((-111.92991680000006 33.41878000000003,-111.92991680000006 33.419580000000025,-111.92854680000006 33.419580000000025,-111.92854680000006 33.41878000000003,-111.92991680000006 33.41878000000003))",POINT (-111.9295419 33.4190764),2,0,0,0,0,1,0,demand_zone
293,236.0,O13,-111.92777815,33.4191948,"POLYGON ((-111.92854680000006 33.41878000000003,-111.92854680000006 33.419580000000025,-111.92717680000007 33.419580000000025,-111.92717680000007 33.41878000000003,-111.92854680000006 33.41878000000003))",POINT (-111.92777815 33.4191948),2,0,0,0,0,0,0,demand_zone
295,237.0,O15,-111.9253454,33.41930495,"POLYGON ((-111.92580680000007 33.41878000000003,-111.92580680000007 33.419580000000025,-111.92443680000008 33.419580000000025,-111.92443680000008 33.41878000000003,-111.92580680000007 33.41878000000003))",POINT (-111.9253454 33.41930495),2,0,0,0,0,1,0,demand_zone
296,240.0,O16,-111.92364295,33.41884735,"POLYGON ((-111.92443680000008 33.41878000000003,-111.92443680000008 33.419580000000025,-111.92306680000009 33.419580000000025,-111.92306680000009 33.41878000000003,-111.92443680000008 33.41878000000003))",POINT (-111.92364295 33.41884735),1,0,0,0,0,0,0,demand_zone
297,241.0,O17,-111.922723525,33.419199075,"POLYGON ((-111.92306680000009 33.41878000000003,-111.92306680000009 33.419580000000025,-111.92169680000009 33.419580000000025,-111.92169680000009 33.41878000000003,-111.92306680000009 33.41878000000003))",POINT (-111.922723525 33.419199075),4,0,0,0,0,0,0,demand_zone
304,242.0,P4,-111.9402554,33.418509657142856,"POLYGON ((-111.94087680000001 33.41798000000003,-111.94087680000001 33.41878000000003,-111.93950680000002 33.41878000000003,-111.93950680000002 33.41798000000003,-111.94087680000001 33.41798000000003))",POINT (-111.9402554 33.418509657142856),1,0,0,0,0,1,0,demand_zone
