name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,3460,546388942,1385,1403,1,20.59526894238965,1,29,,service,7,"LINESTRING (-111.9239886 33.429186, -111.9241905 33.4291091)",bike;walk,1
,3461,546388942,1403,1385,1,20.59526894238965,1,29,,service,7,"LINESTRING (-111.9241905 33.4291091, -111.9239886 33.429186)",bike;walk,1
,3462,546388942,1403,1401,1,19.08129665311351,1,29,,service,7,"LINESTRING (-111.9241905 33.4291091, -111.92434 33.4290523, -111.9243802 33.4290442)",bike;walk,1
,3463,546388942,1401,1403,1,19.08129665311351,1,29,,service,7,"LINESTRING (-111.9243802 33.4290442, -111.92434 33.4290523, -111.9241905 33.4291091)",bike;walk,1
,3464,546388942,1401,1386,1,17.077671361514188,1,29,,service,7,"LINESTRING (-111.9243802 33.4290442, -111.9245591 33.4290082)",bike;walk,1
,3465,546388942,1386,1401,1,17.077671361514188,1,29,,service,7,"LINESTRING (-111.9245591 33.4290082, -111.9243802 33.4290442)",bike;walk,1
,3466,546388942,1386,1398,1,18.635710710982437,1,29,,service,7,"LINESTRING (-111.9245591 33.4290082, -111.9247598 33.4290025)",bike;walk,1
,3467,546388942,1398,1386,1,18.635710710982437,1,29,,service,7,"LINESTRING (-111.9247598 33.4290025, -111.9245591 33.4290082)",bike;walk,1
,3468,546388942,1398,1397,1,16.272139040613023,1,29,,service,7,"LINESTRING (-111.9247598 33.4290025, -111.9248425 33.4290002, -111.9249351 33.4290005)",bike;walk,1
,3469,546388942,1397,1398,1,16.272139040613023,1,29,,service,7,"LINESTRING (-111.9249351 33.4290005, -111.9248425 33.4290002, -111.9247598 33.4290025)",bike;walk,1
,3470,546388942,1397,1395,1,16.84694628325002,1,29,,service,7,"LINESTRING (-111.9249351 33.4290005, -111.9250388 33.4290009, -111.9251153 33.4290129)",bike;walk,1
,3471,546388942,1395,1397,1,16.84694628325002,1,29,,service,7,"LINESTRING (-111.9251153 33.4290129, -111.9250388 33.4290009, -111.9249351 33.4290005)",bike;walk,1
,3472,546388942,1395,1393,1,17.896348923032008,1,29,,service,7,"LINESTRING (-111.9251153 33.4290129, -111.9251884 33.4290244, -111.9253047 33.4290432)",bike;walk,1
,3473,546388942,1393,1395,1,17.896348923032008,1,29,,service,7,"LINESTRING (-111.9253047 33.4290432, -111.9251884 33.4290244, -111.9251153 33.4290129)",bike;walk,1
,3474,546388942,1393,1391,1,16.51694264668021,1,29,,service,7,"LINESTRING (-111.9253047 33.4290432, -111.9253794 33.4290553, -111.9254811 33.4290605)",bike;walk,1
,3475,546388942,1391,1393,1,16.51694264668021,1,29,,service,7,"LINESTRING (-111.9254811 33.4290605, -111.9253794 33.4290553, -111.9253047 33.4290432)",bike;walk,1
,3476,546388942,1391,1389,1,17.654979679095195,1,29,,service,7,"LINESTRING (-111.9254811 33.4290605, -111.925671 33.4290701)",bike;walk,1
,3477,546388942,1389,1391,1,17.654979679095195,1,29,,service,7,"LINESTRING (-111.925671 33.4290701, -111.9254811 33.4290605)",bike;walk,1
,3478,546388942,1389,1405,1,50.68710129469209,1,29,,service,7,"LINESTRING (-111.925671 33.4290701, -111.9258397 33.4290788, -111.9258238 33.4293933)",bike;walk,1
,3479,546388942,1405,1389,1,50.68710129469209,1,29,,service,7,"LINESTRING (-111.9258238 33.4293933, -111.9258397 33.4290788, -111.925671 33.4290701)",bike;walk,1
,3480,546388942,1405,1388,1,28.47501054200181,1,29,,service,7,"LINESTRING (-111.9258238 33.4293933, -111.9258177 33.4295158, -111.9256578 33.429513)",bike;walk,1
,3481,546388942,1388,1405,1,28.47501054200181,1,29,,service,7,"LINESTRING (-111.9256578 33.429513, -111.9258177 33.4295158, -111.9258238 33.4293933)",bike;walk,1
,3482,546388942,1388,1390,1,17.422063884031644,1,29,,service,7,"LINESTRING (-111.9256578 33.429513, -111.9254701 33.4295098)",bike;walk,1
,3483,546388942,1390,1388,1,17.422063884031644,1,29,,service,7,"LINESTRING (-111.9254701 33.4295098, -111.9256578 33.429513)",bike;walk,1
,3484,546388942,1390,1392,1,15.99280053198111,1,29,,service,7,"LINESTRING (-111.9254701 33.4295098, -111.9252978 33.4295068)",bike;walk,1
,3485,546388942,1392,1390,1,15.99280053198111,1,29,,service,7,"LINESTRING (-111.9252978 33.4295068, -111.9254701 33.4295098)",bike;walk,1
,3486,546388942,1392,1394,1,17.422295786612686,1,29,,service,7,"LINESTRING (-111.9252978 33.4295068, -111.9251101 33.4295035)",bike;walk,1
,3487,546388942,1394,1392,1,17.422295786612686,1,29,,service,7,"LINESTRING (-111.9251101 33.4295035, -111.9252978 33.4295068)",bike;walk,1
,3488,546388942,1394,1396,1,16.71671130400373,1,29,,service,7,"LINESTRING (-111.9251101 33.4295035, -111.92493 33.4295004)",bike;walk,1
,3489,546388942,1396,1394,1,16.71671130400373,1,29,,service,7,"LINESTRING (-111.92493 33.4295004, -111.9251101 33.4295035)",bike;walk,1
,3490,546388942,1396,1387,1,16.048469783626665,1,29,,service,7,"LINESTRING (-111.92493 33.4295004, -111.9247571 33.4294974)",bike;walk,1
,3491,546388942,1387,1396,1,16.048469783626665,1,29,,service,7,"LINESTRING (-111.9247571 33.4294974, -111.92493 33.4295004)",bike;walk,1
,3492,546388942,1387,1399,1,18.996921836124674,1,29,,service,7,"LINESTRING (-111.9247571 33.4294974, -111.9245637 33.4295534)",bike;walk,1
,3493,546388942,1399,1387,1,18.996921836124674,1,29,,service,7,"LINESTRING (-111.9245637 33.4295534, -111.9247571 33.4294974)",bike;walk,1
,3494,546388942,1399,1400,1,18.354149296835562,1,29,,service,7,"LINESTRING (-111.9245637 33.4295534, -111.9243768 33.4296074)",bike;walk,1
,3495,546388942,1400,1399,1,18.354149296835562,1,29,,service,7,"LINESTRING (-111.9243768 33.4296074, -111.9245637 33.4295534)",bike;walk,1
,3496,546388942,1400,1402,1,18.638603156913383,1,29,,service,7,"LINESTRING (-111.9243768 33.4296074, -111.9242669 33.4296392, -111.9241824 33.4296411)",bike;walk,1
,3497,546388942,1402,1400,1,18.638603156913383,1,29,,service,7,"LINESTRING (-111.9241824 33.4296411, -111.9242669 33.4296392, -111.9243768 33.4296074)",bike;walk,1
,3498,546388942,1402,409,1,16.644834171395296,1,29,,service,7,"LINESTRING (-111.9241824 33.4296411, -111.9240031 33.4296451)",bike;walk,1
,3499,546388942,409,1402,1,16.644834171395296,1,29,,service,7,"LINESTRING (-111.9240031 33.4296451, -111.9241824 33.4296411)",bike;walk,1
,3500,546388945,1388,1389,1,49.26346482867224,1,29,,service,7,"LINESTRING (-111.9256578 33.429513, -111.925671 33.4290701)",bike;walk,1
,3501,546388945,1389,1388,1,49.26346482867224,1,29,,service,7,"LINESTRING (-111.925671 33.4290701, -111.9256578 33.429513)",bike;walk,1
