name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2,activity_zone_id
,6818,701438578,,house,,,"POLYGON ((-76.37622090000001 36.810498, -76.3761002 36.8105023, -76.376103 36.8105181, -76.3759987 36.8105175, -76.3759931 36.8104257, -76.3760371 36.8104265, -76.3760365 36.8103885, -76.3762176 36.8103813, -76.37622090000001 36.810498))",POINT (-76.3761099 36.8104497),257.1,2767.40136384,1806
,4829,701437558,,house,,,"POLYGON ((-76.3782111 36.8139349, -76.3781607 36.8139287, -76.3781517 36.8139613, -76.3780397 36.8139423, -76.3780749 36.8137922, -76.3781884 36.8138139, -76.37817200000001 36.8138752, -76.3782224 36.8138814, -76.3782111 36.8139349))",POINT (-76.37812409999999 36.8138811),200.9,2162.4695993600003,1806
,1016,701437253,,house,,,"POLYGON ((-76.37534719999999 36.8125542, -76.3753406 36.812584, -76.37542670000001 36.8125963, -76.37540989999999 36.8126726, -76.3752288 36.8126468, -76.375246 36.8125691, -76.3752726 36.8125729, -76.37527919999999 36.8125444, -76.37534719999999 36.8125542))",POINT (-76.3753253 36.8126141),161.2,1735.14235648,1806
,5539,701437261,,house,,,"POLYGON ((-76.3758076 36.8126001, -76.37587499999999 36.8126093, -76.3758687 36.8126381, -76.3759436 36.8126487, -76.37592669999999 36.8127267, -76.37586779999999 36.8127185, -76.37579820000001 36.8127162, -76.3757576 36.8127003, -76.3757748 36.8126215, -76.3758021 36.8126253, -76.3758076 36.8126001))",POINT (-76.37584769999999 36.8126693),159.5,1716.8437088,1806
,3760,701438517,,house,,,"POLYGON ((-76.37755989999999 36.8102843, -76.3776701 36.8102887, -76.3776652 36.8103669, -76.37764900000001 36.8104339, -76.377551 36.81043, -76.37755989999999 36.8102843))",POINT (-76.3776093 36.810358),155.9,1678.09363136,1806
,9930,701437356,,house,,,"POLYGON ((-76.37442780000001 36.8129911, -76.3744287 36.8130595, -76.3744471 36.8130593, -76.3744475 36.8131057, -76.3744256 36.8131059, -76.3744262 36.8131364, -76.3743274 36.8131371, -76.374326 36.8129917, -76.37442780000001 36.8129911))",POINT (-76.3743807 36.8130647),154.7,1665.1769388799999,1806
,2517,701438599,,house,,,"POLYGON ((-76.3745698 36.8105557, -76.3746664 36.8105712, -76.3746395 36.8106795, -76.3746072 36.8106745, -76.37459870000001 36.8107082, -76.37454870000001 36.8107001, -76.37455679999999 36.8106665, -76.3745419 36.8106643, -76.37454990000001 36.8106323, -76.37452879999999 36.8106289, -76.37453960000001 36.8105857, -76.3745617 36.8105891, -76.3745698 36.8105557))",POINT (-76.37459680000001 36.8106261),135.1,1454.20429504,1806
,10961,701437184,,house,,,"POLYGON ((-76.377118 36.8123263, -76.3772144 36.8123393, -76.37718630000001 36.8124762, -76.37709 36.8124634, -76.377118 36.8123263))",POINT (-76.3771522 36.8124013),134.2,1444.51677568,1806
,2574,701438368,,garage,,,"POLYGON ((-76.377674 36.8093544, -76.3776721 36.8094714, -76.3776158 36.809471, -76.3776177 36.809354, -76.377674 36.8093544))",POINT (-76.37764490000001 36.8094127),65.7,707.1889132800001,1806
,146,701438674,,house,,,"POLYGON ((-76.3722301 36.8108505, -76.3721331 36.8109145, -76.3720196 36.8108275, -76.3721109 36.8107539, -76.3722301 36.8108505))",POINT (-76.3721237 36.8108359),164.8,1773.8924339200003,1807
,2154,701437202,,house,,,"POLYGON ((-76.37263609999999 36.8123075, -76.37282209999999 36.8123617, -76.3727897 36.8124339, -76.3726992 36.8124076, -76.3726905 36.8124261, -76.37263419999999 36.8124097, -76.3726441 36.8123882, -76.3726048 36.812377, -76.37263609999999 36.8123075))",POINT (-76.3727102 36.8123734),161.9,1742.6770937600002,1807
,7263,701438505,,house,,,"POLYGON ((-76.37377600000001 36.8101718, -76.37381070000001 36.8102477, -76.37373289999999 36.8102708, -76.373739 36.8102843, -76.3736808 36.8103017, -76.3736743 36.8102873, -76.3736399 36.8102974, -76.3736086 36.8102295, -76.37359840000001 36.8102167, -76.37377600000001 36.8101718))",POINT (-76.373706 36.8102365),160.2,1724.37844608,1807
,8675,701438731,,house,,,"POLYGON ((-76.3727135 36.8110946, -76.37280680000001 36.8111175, -76.3727773 36.8111947, -76.3727789 36.8112112, -76.3727681 36.8112192, -76.3726734 36.8111958, -76.37268520000001 36.811165, -76.3726645 36.8111597, -76.3726815 36.8111155, -76.3727035 36.8111208, -76.3727135 36.8110946))",POINT (-76.3727356 36.8111559),114.7,1234.6205228800002,1807
,10991,701437330,,house,,,"POLYGON ((-76.36923470000001 36.8127689, -76.3692856 36.8127819, -76.36927900000001 36.812798, -76.3693176 36.8128081, -76.3692897 36.8128784, -76.3691635 36.8128459, -76.36919140000001 36.8127758, -76.3692281 36.8127853, -76.36923470000001 36.8127689))",POINT (-76.369242 36.8128233),105.5,1135.5925472000001,1807
,6090,701438484,,house,,,"POLYGON ((-76.3731782 36.8100434, -76.3732803 36.8101073, -76.3732194 36.8101703, -76.37316439999999 36.810136, -76.3731366 36.810127, -76.37314569999999 36.8101178, -76.3731179 36.8101006, -76.3731782 36.8100434))",POINT (-76.3731985 36.8101066),103.3,1111.91194432,1807
,5372,701436995,,shed,,,"POLYGON ((-76.3728933 36.811324, -76.3729611 36.8113428, -76.372941 36.81139, -76.37287310000001 36.8113711, -76.3728933 36.811324))",POINT (-76.3729171 36.811357),36.1,388.57716544000004,1807
,9212,701437582,,shed,,,"POLYGON ((-76.3721343 36.8138751, -76.37220309999999 36.8138821, -76.3721956 36.8139293, -76.3721268 36.8139222, -76.3721343 36.8138751))",POINT (-76.372165 36.8139022),32.8,353.05626112,1807
,4973,701437547,,shed,,,"POLYGON ((-76.3731715 36.8137703, -76.3732389 36.8137803, -76.373228 36.8138268, -76.37316060000001 36.8138168, -76.3731715 36.8137703))",POINT (-76.3731997 36.8137986),32.2,346.59791488,1807
,11549,701437610,,shed,,,"POLYGON ((-76.36944750000001 36.81383, -76.36939099999999 36.8138105, -76.3694074 36.8137735, -76.3694532 36.8137864, -76.36944750000001 36.81383))",POINT (-76.3694249 36.813801),22.5,242.187984,1807
